si,pga,x,y,z,time
0.0,0.0,-12.0,-58.0,59.0,46376
0.0,0.0,-28.0,70.0,-23.0,46399
0.0,0.0,-42.0,-86.0,1.0,46423
0.0,0.0,-6.0,34.0,35.0,46446
0.0,0.0,-36.0,-16.0,-5.0,46469
0.0,0.0,12.0,8.0,15.0,46492
0.0,0.0,-52.0,6.0,21.0,46516
0.0,0.0,-18.0,4.0,35.0,46539
0.0,0.0,-34.0,12.0,-9.0,46562
0.0,0.0,-42.0,8.0,21.0,46585
0.0,0.0,-24.0,12.0,-3.0,46608
0.0,0.0,-30.0,4.0,-5.0,46631
0.0,0.0,-6.0,14.0,-3.0,46654
0.0,0.0,-38.0,40.0,-13.0,46677
0.0,0.0,4.0,30.0,-5.0,46700
0.0,0.0,-20.0,10.0,17.0,46724
0.0,0.0,24.0,76.0,7.0,46747
0.0,0.0,-52.0,-4.0,37.0,46770
0.0,0.0,12.0,62.0,-35.0,46793
0.0,0.0,-42.0,0.0,13.0,46816
0.0,0.0,16.0,84.0,-41.0,46839
0.0,0.0,-8.0,10.0,33.0,46862
0.0,0.0,28.0,64.0,-43.0,46885
0.0,0.0,-28.0,30.0,35.0,46908
0.0,0.0,36.0,44.0,-17.0,46931
0.0,0.0,-8.0,68.0,63.0,46954
0.0,0.0,6.0,50.0,-25.0,46977
0.0,0.0,30.0,24.0,1.0,47000
0.0,0.0,2.0,22.0,5.0,47024
0.0,0.0,2.0,18.0,25.0,47047
0.0,0.0,18.0,18.0,-11.0,47070
0.0,0.0,14.0,16.0,-5.0,47093
0.0,0.0,28.0,-18.0,7.0,47117
0.0,0.0,20.0,2.0,-29.0,47140
0.0,0.0,16.0,6.0,13.0,47163
0.0,0.0,42.0,-6.0,1.0,47186
0.0,0.0,28.0,26.0,25.0,47209
0.0,0.0,14.0,-10.0,-21.0,47232
0.0,0.0,42.0,2.0,7.0,47256
0.0,0.0,40.0,18.0,11.0,47279
0.0,0.0,10.0,-8.0,17.0,47302
0.0,0.0,28.0,-16.0,9.0,47325
0.0,0.0,30.0,-32.0,1.0,47348
0.0,0.0,48.0,-28.0,17.0,47371
0.0,0.0,16.0,-40.0,5.0,47394
0.0,0.0,42.0,-30.0,17.0,47417
0.0,0.0,2.0,10.0,49.0,47440
0.0,0.0,10.0,-28.0,21.0,47463
0.0,0.0,18.0,-32.0,5.0,47487
0.0,0.0,-8.0,-10.0,5.0,47510
0.0,0.0,16.0,-16.0,-1.0,47534
0.0,0.0,32.0,-34.0,21.0,47557
0.0,0.0,-4.0,-38.0,9.0,47580
0.0,0.0,2.0,-14.0,5.0,47603
0.0,0.0,-4.0,-48.0,9.0,47626
0.0,0.0,-6.0,-32.0,17.0,47649
0.0,0.0,-8.0,-10.0,13.0,47673
0.0,0.0,-6.0,-32.0,3.0,47696
0.0,0.0,-8.0,-14.0,21.0,47719
0.0,0.0,-20.0,-32.0,31.0,47742
0.0,0.0,-24.0,-16.0,-7.0,47766
0.0,0.0,-32.0,-28.0,3.0,47789
0.0,0.0,-12.0,-32.0,3.0,47812
0.0,0.0,-20.0,-28.0,-11.0,47835
0.0,0.0,-6.0,-16.0,-3.0,47858
0.0,0.0,-10.0,-20.0,13.0,47881
0.0,0.0,-30.0,6.0,13.0,47904
0.0,0.0,-24.0,8.0,-5.0,47927
0.0,0.0,-46.0,2.0,-15.0,47951
0.0,0.0,12.0,16.0,13.0,47974
0.0,0.0,-48.0,16.0,25.0,47997
0.0,0.0,-22.0,30.0,-19.0,48020
0.0,0.0,-34.0,-76.0,17.0,48044
0.0,0.0,8.0,114.0,-33.0,48067
0.0,0.0,-52.0,-42.0,19.0,48090
0.0,0.0,16.0,44.0,-7.0,48113
0.0,0.0,-60.0,-6.0,19.0,48136
0.0,0.0,-4.0,22.0,-7.0,48159
0.0,0.0,-34.0,42.0,-9.0,48182
0.0,0.0,-10.0,4.0,21.0,48205
0.0,0.0,-18.0,48.0,-1.0,48228
0.0,0.0,-22.0,16.0,-19.0,48251
0.0,0.0,12.0,64.0,-15.0,48274
0.0,0.0,-28.0,36.0,1.0,48297
0.0,0.0,14.0,48.0,-23.0,48320
0.0,0.0,6.0,40.0,-7.0,48343
0.0,0.0,30.0,50.0,3.0,48366
0.0,0.0,-16.0,10.0,5.0,48389
0.0,0.0,30.0,46.0,1.0,48412
0.0,0.0,-8.0,20.0,17.0,48435
0.0,0.0,52.0,62.0,-1.0,48459
0.0,0.0,-4.0,44.0,29.0,48482
0.0,0.0,18.0,88.0,3.0,48506
0.0,0.0,34.0,-14.0,1.0,48529
0.0,0.0,52.0,38.0,-17.0,48552
0.0,0.0,-14.0,14.0,-3.0,48576
0.0,0.0,48.0,0.0,-13.0,48599
0.0,0.0,12.0,24.0,21.0,48621
0.0,0.0,32.0,30.0,7.0,48644
0.0,0.0,22.0,-16.0,9.0,48667
0.0,0.0,22.0,14.0,-17.0,48691
0.0,0.0,48.0,34.0,-5.0,48714
0.0,0.0,44.0,-6.0,13.0,48737
0.0,0.0,18.0,-6.0,19.0,48760
0.0,0.0,32.0,-14.0,23.0,48783
0.0,0.0,16.0,12.0,9.0,48806
0.0,0.0,30.0,6.0,41.0,48830
0.0,0.0,28.0,-38.0,1.0,48853
0.0,0.0,42.0,-28.0,15.0,48876
0.0,0.0,34.0,-46.0,-3.0,48899
0.0,0.0,10.0,-34.0,5.0,48922
0.0,0.0,18.0,-36.0,-9.0,48946
0.0,0.0,20.0,-50.0,-19.0,48969
0.0,0.0,-4.0,-54.0,39.0,48992
0.0,0.0,8.0,-46.0,27.0,49015
0.0,0.0,40.0,-2.0,7.0,49038
0.0,0.0,-22.0,-52.0,55.0,49061
0.0,0.0,16.0,-40.0,-9.0,49084
0.0,0.0,6.0,-34.0,19.0,49107
0.0,0.0,-6.0,-28.0,-15.0,49130
0.0,0.0,-4.0,-22.0,31.0,49154
0.0,0.0,-16.0,-46.0,-11.0,49177
0.0,0.0,-6.0,-32.0,-5.0,49200
0.0,0.0,-2.0,-22.0,25.0,49224
0.0,0.0,-24.0,-20.0,-33.0,49247
0.0,0.0,-20.0,-40.0,39.0,49270
0.0,0.0,-18.0,-4.0,9.0,49293
0.0,0.0,-26.0,-70.0,-23.0,49316
0.0,0.0,-18.0,22.0,13.0,49339
0.0,0.0,-60.0,14.0,35.0,49363
0.0,0.0,-18.0,-30.0,1.0,49386
