0.00,19.00,-131.00,8.00,396779
0,0,1.00,-145.00,26.00,412958
0,0,-23.00,-147.00,32.00,412982
0,0,-13.00,-129.00,10.00,413006
0,0,-19.00,-151.00,12.00,413030
0,0,-7.00,-151.00,10.00,413054
0,0,-15.00,-139.00,4.00,413078
0,0,-25.00,-137.00,32.00,413102
0,0,-3.00,-135.00,24.00,413126
0,0,-11.00,-121.00,8.00,413150
0,0,-29.00,-151.00,38.00,413174
0,0,-37.00,-129.00,26.00,413198
0,0,-31.00,-133.00,38.00,413221
0,0,-25.00,-139.00,12.00,413244
0,0,-17.00,-137.00,16.00,413267
0,0,-7.00,-137.00,44.00,413290
0,0,-9.00,-121.00,28.00,413314
0,0,-19.00,-153.00,24.00,413338
0,0,-1.00,-135.00,16.00,413361
0,0,-11.00,-147.00,12.00,413384
0,0,-13.00,-137.00,22.00,413408
0,0,-19.00,-131.00,10.00,413431
0,0,-25.00,-135.00,20.00,413455
0,0,-15.00,-123.00,20.00,413479
0,0,-25.00,-153.00,8.00,413503
0,0,-21.00,-141.00,38.00,413526
0,0,-31.00,-131.00,10.00,413551
0,0,-13.00,-131.00,16.00,413574
0,0,-19.00,-135.00,0.00,413599
0,0,-17.00,-143.00,26.00,413623
0,0,-29.00,-123.00,30.00,413647
0,0,-21.00,-131.00,16.00,413671
0,0,-25.00,-143.00,24.00,413695
0,0,-25.00,-155.00,22.00,413719
0,0,-31.00,-143.00,32.00,413743
0,0,-7.00,-143.00,8.00,413787
0,0,-3.00,-135.00,14.00,413810
0,0,-27.00,-129.00,24.00,413834
0,0,-21.00,-137.00,22.00,413857
0,0,-15.00,-133.00,16.00,413881
0,0,-21.00,-135.00,22.00,413905
0,0,-25.00,-151.00,16.00,413928
0,0,-31.00,-133.00,16.00,413952
0,0,-17.00,-149.00,28.00,413976
0,0,-17.00,-153.00,-4.00,413999
0,0,-5.00,-145.00,6.00,414023
0,0,-19.00,-157.00,30.00,414046
0,0,-7.00,-131.00,34.00,414070
0,0,-25.00,-141.00,32.00,414114
0,0,-27.00,-139.00,0.00,414138
0,0,-31.00,-153.00,20.00,414163
0,0,-15.00,-137.00,26.00,414187
0,0,-7.00,-121.00,24.00,414211
0,0,-9.00,-143.00,12.00,414235
0,0,-7.00,-155.00,0.00,414259
0,0,-13.00,-143.00,26.00,414283
0,0,-31.00,-139.00,0.00,414307
0,0,-1.00,-131.00,20.00,414331
0,0,-31.00,-157.00,36.00,414355
0,0,-3.00,-137.00,8.00,414378
0,0,-25.00,-141.00,20.00,414401
0,0,-21.00,-137.00,20.00,414425
0,0,-9.00,-125.00,24.00,414449
0,0,-13.00,-159.00,20.00,414473
0,0,-25.00,-125.00,-4.00,414497
0,0,-21.00,-129.00,4.00,414521
0,0,-13.00,-145.00,16.00,414545
0,0,-11.00,-139.00,22.00,414569
0,0,-7.00,-145.00,10.00,414593
0,0,-11.00,-143.00,12.00,414618
0,0,-3.00,-143.00,26.00,414642
0,0,-9.00,-143.00,20.00,414666
0,0,-9.00,-155.00,16.00,414690
0,0,-21.00,-139.00,24.00,414714
0,0,-31.00,-147.00,40.00,414758
0,0,-3.00,-135.00,8.00,414782
0,0,-19.00,-135.00,-2.00,414806
0,0,-31.00,-129.00,12.00,414831
0,0,-7.00,-147.00,0.00,414855
0,0,-19.00,-129.00,32.00,414879
0,0,-23.00,-143.00,16.00,414903
0,0,-21.00,-147.00,32.00,414926
0,0,-31.00,-131.00,22.00,414949
0,0,-15.00,-141.00,14.00,414972
0,0,1.00,-133.00,4.00,414995
0,0,-7.00,-133.00,10.00,415019
0,0,-27.00,-141.00,10.00,415042
0,0,-13.00,-147.00,18.00,415065
0,0,-33.00,-153.00,18.00,415088
0.00,0.00,-11.00,-147.00,22.00,415375
0.00,0.00,-13.00,-133.00,30.00,415440
0.00,0.00,-19.00,-137.00,10.00,415505
0.00,0.00,-9.00,-151.00,26.00,415570
0.00,0.00,-15.00,-129.00,22.00,415635
0.00,0.00,-19.00,-129.00,38.00,415700
0.00,0.00,-9.00,-139.00,-4.00,415765
0.00,0.00,-25.00,-137.00,8.00,415830
0.00,0.00,-13.00,-129.00,30.00,415896
0.00,0.00,-19.00,-153.00,8.00,415981
0,0,-23.00,-139.00,10.00,416004
0,0,-21.00,-155.00,38.00,416027
0,0,-35.00,-129.00,-4.00,416050
