id,value,feed_id,Time Stemp,lat,lon,ele
0FFMKAKQ62WVB8A4KY7F028M07,108.05,2699033,2023-12-19 20:56:39 UTC,,,
0FFMKANMHGFADBAFTG9RG6E07X,111.53,2699033,2023-12-19 20:56:45 UTC,,,
0FFMKAQJ0159FQQVS8B22XHN1T,109.43,2699033,2023-12-19 20:56:52 UTC,,,
0FFMKASFNYQT1H4Q78WRXM8NXS,110.59,2699033,2023-12-19 20:56:58 UTC,,,
0FFMKAVCQEFAJJ0RZRW8NHQW9P,110.47,2699033,2023-12-19 20:57:04 UTC,,,
0FFMKAXA3PDF34Q3PRSDBV4RAH,106.23,2699033,2023-12-19 20:57:10 UTC,,,
0FFMKAZ7QKSA546X7AEXEMSZS8,103.33,2699033,2023-12-19 20:57:17 UTC,,,
0FFMKB14XBJ4Z6SAYJS5YWAXY7,101.36,2699033,2023-12-19 20:57:23 UTC,,,
0FFMKB32BRQ5QEDK0008HM7QCF,101.16,2699033,2023-12-19 20:57:29 UTC,,,
0FFMKB4ZPMR9S60698856J4GJQ,100.34,2699033,2023-12-19 20:57:36 UTC,,,
0FFMKB6X37EYF6F5VEAR8GBK38,103.94,2699033,2023-12-19 20:57:42 UTC,,,
0FFMKB8TG09V3DDC3Y71RQ5Z4X,104.74,2699033,2023-12-19 20:57:48 UTC,,,
0FFMKBAQXA7CY7BK70BSE3QV9F,102.38,2699033,2023-12-19 20:57:54 UTC,,,
0FFMKBCNAB956V4HK2SBPC6EX0,105.86,2699033,2023-12-19 20:58:01 UTC,,,
0FFMKBEJN4AR0VPJJ6GVA8TMVV,107.07,2699033,2023-12-19 20:58:07 UTC,,,
0FFMKBGG1SEX4SHZMX0WDZJ3BY,104.73,2699033,2023-12-19 20:58:13 UTC,,,
0FFMKBJDDTFBZ5Y8NGWSFX964W,106.95,2699033,2023-12-19 20:58:20 UTC,,,
0FFMKBMB16YPAM71JDH8CNMY60,112.09,2699033,2023-12-19 20:58:26 UTC,,,
0FFMKBP8F6RGYN7JTJ665YYA2M,114.04,2699033,2023-12-19 20:58:32 UTC,,,
0FFMKBR5KCTNWHY27E7C5R2GG6,116.42,2699033,2023-12-19 20:58:38 UTC,,,
0FFMKBT3058H1RN3J4TPGY6DR1,112.87,2699033,2023-12-19 20:58:45 UTC,,,
0FFMKBW0E1W3KNX3J8T75KHM48,113.77,2699033,2023-12-19 20:58:51 UTC,,,
0FFMKBXXT737CFAHNFXWJ98R4D,113.43,2699033,2023-12-19 20:58:57 UTC,,,
0FFMKBZV7ZR7ZAFZXK5FB9B9SM,115.26,2699033,2023-12-19 20:59:04 UTC,,,
0FFMKC1RJX260F1YKEJ09C67RE,115.78,2699033,2023-12-19 20:59:10 UTC,,,
0FFMKC3P091KSRYYYDB94HFK3F,114.88,2699033,2023-12-19 20:59:16 UTC,,,
0FFMKC5KC3JP0GX020MSMMPSQA,113.52,2699033,2023-12-19 20:59:22 UTC,,,
0FFMKC7GWVYEQJSCVFXJS1DEPG,108.93,2699033,2023-12-19 20:59:29 UTC,,,
0FFMKC9E6E7CGX2HQQZVDK67V7,110.35,2699033,2023-12-19 20:59:35 UTC,,,
0FFMKCBBK51HH6ENA3SRJDFE6H,111.85,2699033,2023-12-19 20:59:41 UTC,,,
0FFMKCD8X81T1AWDG514CRH6HW,115.81,2699033,2023-12-19 20:59:48 UTC,,,
0FFMKCF6BZ8CE5E3JX1WPZJV0S,112.83,2699033,2023-12-19 20:59:54 UTC,,,
0FFMKCH3THNF7QFD7BDB45JKVX,111.02,2699033,2023-12-19 21:00:00 UTC,,,
0FFMKCK14G0CXY1DYCMKP5ZKKQ,108.77,2699033,2023-12-19 21:00:06 UTC,,,
0FFMKCMYJ6RN2MKQAHC9BZGHG2,108.51,2699033,2023-12-19 21:00:13 UTC,,,
0FFMKCPVZ785XYH10BP98X9D0E,104.76,2699033,2023-12-19 21:00:19 UTC,,,
0FFMKCRSB6MAXCR7AAG9YK80BC,104.11,2699033,2023-12-19 21:00:25 UTC,,,
0FFMKCTPSPD880E35C382RYNY7,103.23,2699033,2023-12-19 21:00:32 UTC,,,
0FFMKCWM3513R4YTY0SH4D776V,104.57,2699033,2023-12-19 21:00:38 UTC,,,
0FFMKCYHFTNNW6QTFCHP76VT1W,107.02,2699033,2023-12-19 21:00:44 UTC,,,
0FFMKD0EWWB06TQT5MPM6TNZ63,108.86,2699033,2023-12-19 21:00:50 UTC,,,
0FFMKD2C8N0YC4KQP4Z606BFPZ,110.44,2699033,2023-12-19 21:00:57 UTC,,,
0FFMKD49N4J22AC6PPFZBAR8XX,105.51,2699033,2023-12-19 21:01:03 UTC,,,
0FFMKD6730G3YSZ1HS3KREPXVB,103.82,2699033,2023-12-19 21:01:09 UTC,,,
0FFMKD84ENH3FAQGP9DA90NNRP,107.27,2699033,2023-12-19 21:01:16 UTC,,,
0FFMKDA1VGQ198ND32D2C7KH5X,105.64,2699033,2023-12-19 21:01:22 UTC,,,
0FFMKDBZCJHNSYSBRY2WGBEA11,103.86,2699033,2023-12-19 21:01:28 UTC,,,
0FFMKDDWMQXEH0CX71FYZWYS7V,99.90,2699033,2023-12-19 21:01:34 UTC,,,
0FFMKDFT2CXCBBHZXV8HGX78VV,98.32,2699033,2023-12-19 21:01:41 UTC,,,
0FFMKDHQHHBXB7V1GH886GQTCT,99.81,2699033,2023-12-19 21:01:47 UTC,,,
0FFMKDKMZ6Q5K1SJ02DMCW0CZ9,100.53,2699033,2023-12-19 21:01:53 UTC,,,
0FFMKDNJ8917R960W302HVB9HG,104.13,2699033,2023-12-19 21:02:00 UTC,,,
0FFMKDQFMYDN9PRCW68J5MKCGP,102.62,2699033,2023-12-19 21:02:06 UTC,,,
0FFMKDSD0JYSEEK7AM4SMQ1PR4,102.04,2699033,2023-12-19 21:02:12 UTC,,,
0FFMKDVADCA4QTB2786B3G5NJ0,104.80,2699033,2023-12-19 21:02:18 UTC,,,
